nim,fakultas_prodi,smt,ips_smt1,ips_smt2,golongan_ukt,status_cuti,kode_wilayah,asal_daerah
1914021014,FHIS/Sejarah Sosiologi dan Perpustakaan,2,0.0,0.0,1,1,3,"Kec. Ambulu, Kab. Jember, Prov. Jawa Timur"
1914031008,FHIS/Geografi,2,3.34,3.76,7,1,3,"Kec. Srono, Kab. Banyuwangi, Prov. Jawa Timur"
1914031013,FHIS/Geografi,2,0.09,0.0,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1914031018,FHIS/Geografi,2,3.18,3.3,7,1,3,"Kec. Menganti, Kab. Gresik, Prov. Jawa Timur"
1914031024,FHIS/Geografi,2,2.91,3.08,6,1,3,"Kec. Kabola, Kab. Alor, Prov. Nusa Tenggara Timur"
1914091012,FHIS/Sejarah Sosiologi dan Perpustakaan,2,3.13,1.15,1,0,3,"Kec. Afulu, Kab. Nias Utara, Prov. Sumatera Utara"
1914091013,FHIS/Sejarah Sosiologi dan Perpustakaan,2,0.0,0.0,1,1,3,"Kec. Biboki Tanpah, Kab. Timor Tengah Utara, Prov. Nusa Tenggara Timur"
1914091021,FHIS/Sejarah Sosiologi dan Perpustakaan,2,1.22,0.0,2,1,3,"Kec. Bangsal, Kab. Mojokerto, Prov. Jawa Timur"
1914101013,FHIS/Hukum dan Kewarganegaraan,2,3.52,3.47,6,0,2,"Kec. Sawan, Kab. Buleleng, Prov. Bali"
1914101020,FHIS/Hukum dan Kewarganegaraan,2,3.55,3.52,2,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1914101074,FHIS/Hukum dan Kewarganegaraan,2,3.5,3.1,3,1,3,"Kec. Matraman, Kab. Jakarta Timur, Prov. Dki Jakarta"
1914101082,FHIS/Hukum dan Kewarganegaraan,2,3.58,3.67,7,1,3,"Kec. Medan Johor, Kab. Medan, Prov. Sumatera Utara"
1914101084,FHIS/Hukum dan Kewarganegaraan,2,3.48,2.8,7,1,3,"Kec. Jatiasih, Kab. Bekasi, Prov. Jawa Barat"
1914101090,FHIS/Hukum dan Kewarganegaraan,2,3.58,3.58,4,1,2,"Kec. Seririt, Kab. Buleleng, Prov. Bali"
1914101099,FHIS/Hukum dan Kewarganegaraan,2,3.2,2.55,3,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1914101103,FHIS/Hukum dan Kewarganegaraan,2,3.59,3.38,7,0,2,"Kec. Sukasada, Kab. Buleleng, Prov. Bali"
1914101120,FHIS/Hukum dan Kewarganegaraan,2,3.7,3.61,5,1,2,"Kec. Sawan, Kab. Buleleng, Prov. Bali"
1914101138,FHIS/Hukum dan Kewarganegaraan,2,3.54,3.77,2,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1914103001,FHIS/Hukum dan Kewarganegaraan,2,0.0,0.0,7,0,3,"Kec. Berastagi, Kab. Karo, Prov. Sumatera Utara"
1915011014,FTK/Teknologi Industri,2,3.69,0.26,1,0,3,"Kec. Praya Timur, Kab. Lombok Tengah, Prov. Nusa Tenggara Barat"
1915011022,FTK/Teknologi Industri,2,3.65,3.89,3,1,3,"Kec. Woha, Kab. Bima, Prov. Nusa Tenggara Barat"
1915011023,FTK/Teknologi Industri,2,3.35,3.63,6,0,3,"Kec. Palibelo, Kab. Bima, Prov. Nusa Tenggara Barat"
1915011024,FTK/Teknologi Industri,2,3.69,2.24,1,1,3,"Kec. Gianyar, Kab. Gianyar, Prov. Bali"
1915011063,FTK/Teknologi Industri,2,3.48,2.88,7,2,3,"Kec. Sikur, Kab. Lombok Timur, Prov. Nusa Tenggara Barat"
1915051017,FTK/Teknik Informatika,2,3.91,3.85,7,1,3,"Kec. Kubu, Kab. Karang Asem, Prov. Bali"
1915051026,FTK/Teknik Informatika,2,3.34,3.69,7,1,3,"Kec. Kubu, Kab. Karang Asem, Prov. Bali"
1915051032,FTK/Teknik Informatika,2,2.53,2.53,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1915051034,FTK/Teknik Informatika,2,2.07,3.31,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1915051047,FTK/Teknik Informatika,2,3.8,3.77,6,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1915051053,FTK/Teknik Informatika,2,2.9,1.45,6,1,3,"Kec. Manggis, Kab. Karang Asem, Prov. Bali"
1915051081,FTK/Teknik Informatika,2,3.27,3.59,7,0,3,"Kec. Rendang, Kab. Karang Asem, Prov. Bali"
1915051092,FTK/Teknik Informatika,2,3.03,2.3,7,1,3,"Kec. Kubu, Kab. Karang Asem, Prov. Bali"
1915051093,FTK/Teknik Informatika,2,2.74,2.1,2,1,2,"Kec. Kubutambahan, Kab. Buleleng, Prov. Bali"
1915051094,FTK/Teknik Informatika,2,3.83,3.79,7,1,2,"Kec. Banjar, Kab. Buleleng, Prov. Bali"
1915051096,FTK/Teknik Informatika,2,2.2,2.0,6,1,2,"Kec. Busungbiu, Kab. Buleleng, Prov. Bali"
1915051111,FTK/Teknik Informatika,2,3.43,3.49,3,1,3,"Kec. Jembrana, Kab. Jembrana, Prov. Bali"
1915061016,FTK/Teknologi Industri,2,3.89,3.64,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1915061033,FTK/Teknologi Industri,2,3.63,3.45,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1915071019,FTK/Teknologi Industri,2,2.84,2.37,1,0,3,"Kec. Merdeka, Kab. Karo, Prov. Sumatera Utara"
1915091046,FTK/Teknik Informatika,2,3.24,2.21,7,0,2,"Kec. Sukasada, Kab. Buleleng, Prov. Bali"
1915101003,FTK/Teknik Informatika,2,3.68,3.7,1,1,3,"Kec. Kemlagi, Kab. Mojokerto, Prov. Jawa Timur"
1915101006,FTK/Teknik Informatika,2,3.17,3.24,1,1,3,"Kec. Sinembah Tanjung Muda Hulu, Kab. Deli Serdang, Prov. Sumatera Utara"
1915101059,FTK/Teknik Informatika,2,3.2,2.89,7,1,2,"Kec. Seririt, Kab. Buleleng, Prov. Bali"
1915101060,FTK/Teknik Informatika,2,3.23,3.53,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1916011009,FOK/Pendidikan Olahraga,2,3.37,3.07,6,1,3,"Kec. Purba, Kab. Simalungun, Prov. Sumatera Utara"
1916011010,FOK/Pendidikan Olahraga,2,3.21,3.22,6,1,3,"Kec. Jembrana, Kab. Jembrana, Prov. Bali"
1916011014,FOK/Pendidikan Olahraga,2,3.25,3.43,7,2,3,"Kec. Berastagi, Kab. Karo, Prov. Sumatera Utara"
1916011027,FOK/Pendidikan Olahraga,2,3.57,3.65,7,1,3,"Kec. Rendang, Kab. Karang Asem, Prov. Bali"
1916011046,FOK/Pendidikan Olahraga,2,2.57,1.82,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1916011049,FOK/Pendidikan Olahraga,2,3.51,3.51,7,1,2,"Kec. Sukasada, Kab. Buleleng, Prov. Bali"
1916011052,FOK/Pendidikan Olahraga,2,3.51,3.75,7,1,2,"Kec. Sukasada, Kab. Buleleng, Prov. Bali"
1916011054,FOK/Pendidikan Olahraga,2,3.4,3.15,5,1,3,"Kec. Kintamani, Kab. Bangli, Prov. Bali"
1916011063,FOK/Pendidikan Olahraga,2,3.46,3.42,6,1,3,"Kec. Kuta Utara, Kab. Badung, Prov. Bali"
1916011064,FOK/Pendidikan Olahraga,2,2.96,3.28,6,1,3,"Kec. Kuta Utara, Kab. Badung, Prov. Bali"
1916011069,FOK/Pendidikan Olahraga,2,3.19,1.59,6,1,2,"Kec. Banjar, Kab. Buleleng, Prov. Bali"
1916011070,FOK/Pendidikan Olahraga,2,3.44,3.58,4,2,3,"Kec. Selemadeg Timur, Kab. Tabanan, Prov. Bali"
1916021007,FOK/Ilmu Keolahragaan dan Kesehatan,2,3.57,3.66,5,1,3,"Kec. Bekasi Utara, Kab. Bekasi, Prov. Jawa Barat"
1916041005,FOK/Ilmu Olahraga dan Kesehatan,2,2.27,1.27,1,1,3,"Kec. Sapeken, Kab. Sumenep, Prov. Jawa Timur"
1917011032,FE/Ekonomi dan Akutansi,2,3.25,3.51,6,0,3,"Kec. Medan Selayang, Kab. Medan, Prov. Sumatera Utara"
1917011080,FE/Ekonomi dan Akutansi,2,3.28,3.53,3,0,2,"Kec. Kubutambahan, Kab. Buleleng, Prov. Bali"
1917041016,FE/Manajemen,2,3.83,3.88,1,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1917041075,FE/Manajemen,2,3.63,3.77,1,0,2,"Kec. Kubutambahan, Kab. Buleleng, Prov. Bali"
1917041086,FE/Manajemen,2,3.73,3.88,1,0,2,"Kec. Sukasada, Kab. Buleleng, Prov. Bali"
1917041203,FE/Manajemen,2,3.64,3.73,6,1,3,"Kec. Tegallalang, Kab. Gianyar, Prov. Bali"
1917051071,FE/Ekonomi dan Akutansi,2,3.74,3.85,7,0,3,"Kec. Klungkung, Kab. Klungkung, Prov. Bali"
1917051132,FE/Ekonomi dan Akutansi,2,3.24,0.4,1,0,3,"Kec. Gambiran, Kab. Banyuwangi, Prov. Jawa Timur"
1917051135,FE/Ekonomi dan Akutansi,2,3.54,3.71,6,1,2,"Kec. Seririt, Kab. Buleleng, Prov. Bali"
1917051187,FE/Ekonomi dan Akutansi,2,3.6,3.7,7,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1917051229,FE/Ekonomi dan Akutansi,2,3.18,3.38,6,1,2,"Kec. Banjar, Kab. Buleleng, Prov. Bali"
1929011003,Pascasarjana/Pendidikan Bahasa (S2),2,3.56,3.58,7,1,2,"Kec. Gerokgak, Kab. Buleleng, Prov. Bali"
1929041037,Pascasarjana/Pendidikan Dasar (S2),2,3.68,3.47,7,0,3,"Kec. Mengwi, Kab. Badung, Prov. Bali"
1929071006,Pascasarjana/Teknologi Pendidikan (S2),2,3.88,3.87,7,2,3,"Kec. Denpasar Timur, Kab. Denpasar, Prov. Bali"
1929081026,Pascasarjana/Pendidikan Bahasa Inggris (S2),2,3.63,3.68,7,1,3,"Kec. Denpasar Utara, Kab. Denpasar, Prov. Bali"
1929081033,Pascasarjana/Pendidikan Bahasa Inggris (S2),2,3.5,3.25,7,1,3,"Kec. Denpasar Timur, Kab. Denpasar, Prov. Bali"
1929081039,Pascasarjana/Pendidikan Bahasa Inggris (S2),2,3.75,3.67,7,1,3,"Kec. Tembuku, Kab. Bangli, Prov. Bali"
1929101003,Pascasarjana/Ilmu Komputer (S2),2,3.3,3.8,7,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1929101012,Pascasarjana/Ilmu Komputer (S2),2,3.08,3.55,7,2,3,"Kec. Kediri, Kab. Tabanan, Prov. Bali"
1929101015,Pascasarjana/Ilmu Komputer (S2),2,2.78,2.4,7,2,3,"Kec. Mengwi, Kab. Badung, Prov. Bali"
1929101016,Pascasarjana/Ilmu Komputer (S2),2,3.43,3.55,7,2,3,"Kec. Denpasar Selatan, Kab. Denpasar, Prov. Bali"
1929101033,Pascasarjana/Ilmu Komputer (S2),2,3.18,3.55,7,1,3,"Kec. Denpasar Barat, Kab. Denpasar, Prov. Bali"
1929101043,Pascasarjana/Ilmu Komputer (S2),2,3.38,2.5,7,2,3,"Kec. Gerung, Kab. Lombok Barat, Prov. Nusa Tenggara Barat"
1929101068,Pascasarjana/Ilmu Komputer (S2),2,3.35,3.65,7,1,3,"Kec. Tembuku, Kab. Bangli, Prov. Bali"
1929101077,Pascasarjana/Ilmu Komputer (S2),2,2.44,3.6,7,1,3,"Kec. Kuta Utara, Kab. Badung, Prov. Bali"
1939011009,Pascasarjana/Ilmu Pendidikan (S3),2,3.61,3.54,7,2,3,"Kec. Kuta Utara, Kab. Badung, Prov. Bali"
1939011013,Pascasarjana/Ilmu Pendidikan (S3),2,3.79,3.79,7,1,3,"Kec. Blahbatuh, Kab. Gianyar, Prov. Bali"
1939011014,Pascasarjana/Ilmu Pendidikan (S3),2,3.85,2.96,7,0,3,"Kec. Kuta Selatan, Kab. Badung, Prov. Bali"
1939011015,Pascasarjana/Ilmu Pendidikan (S3),2,3.64,3.71,7,2,3,"Kec. Denpasar Timur, Kab. Denpasar, Prov. Bali"
1939011017,Pascasarjana/Ilmu Pendidikan (S3),2,2.61,0.0,7,1,3,"Kec. Denpasar Utara, Kab. Denpasar, Prov. Bali"
